fecha,Abigeato
2005-01-01,316
2005-02-01,281
2005-03-01,291
2005-04-01,301
2005-05-01,377
2005-06-01,360
2005-07-01,400
2005-08-01,395
2005-09-01,377
2005-10-01,355
2005-11-01,381
2005-12-01,419
2006-01-01,300
2006-02-01,281
2006-03-01,348
2006-04-01,286
2006-05-01,345
2006-06-01,396
2006-07-01,354
2006-08-01,422
2006-09-01,424
2006-10-01,361
2006-11-01,330
2006-12-01,416
2007-01-01,276
2007-02-01,284
2007-03-01,328
2007-04-01,323
2007-05-01,349
2007-06-01,398
2007-07-01,367
2007-08-01,448
2007-09-01,461
2007-10-01,382
2007-11-01,403
2007-12-01,451
2008-01-01,297
2008-02-01,354
2008-03-01,334
2008-04-01,331
2008-05-01,374
2008-06-01,406
2008-07-01,488
2008-08-01,579
2008-09-01,602
2008-10-01,432
2008-11-01,488
2008-12-01,551
2009-01-01,399
2009-02-01,378
2009-03-01,490
2009-04-01,496
2009-05-01,556
2009-06-01,582
2009-07-01,584
2009-08-01,666
2009-09-01,642
2009-10-01,522
2009-11-01,564
2009-12-01,687
2010-01-01,431
2010-02-01,421
2010-03-01,391
2010-04-01,407
2010-05-01,469
2010-06-01,530
2010-07-01,529
2010-08-01,571
2010-09-01,572
2010-10-01,457
2010-11-01,486
2010-12-01,619
2011-01-01,405
2011-02-01,422
2011-03-01,476
2011-04-01,453
2011-05-01,549
2011-06-01,563
2011-07-01,541
2011-08-01,682
2011-09-01,608
2011-10-01,515
2011-11-01,540
2011-12-01,671
2012-01-01,470
2012-02-01,411
2012-03-01,459
2012-04-01,480
2012-05-01,475
2012-06-01,447
2012-07-01,474
2012-08-01,571
2012-09-01,508
2012-10-01,460
2012-11-01,468
2012-12-01,581
2013-01-01,359
2013-02-01,330
2013-03-01,321
2013-04-01,354
2013-05-01,389
2013-06-01,357
2013-07-01,415
2013-08-01,490
2013-09-01,431
2013-10-01,419
2013-11-01,421
2013-12-01,488
2014-01-01,332
2014-02-01,308
2014-03-01,368
2014-04-01,299
2014-05-01,367
2014-06-01,365
2014-07-01,379
2014-08-01,440
2014-09-01,494
2014-10-01,375
2014-11-01,396
2014-12-01,479
2015-01-01,317
2015-02-01,322
2015-03-01,351
2015-04-01,328
2015-05-01,412
2015-06-01,395
2015-07-01,424
2015-08-01,473
2015-09-01,494
2015-10-01,390
2015-11-01,424
2015-12-01,462
2016-01-01,284
2016-02-01,318
2016-03-01,324
2016-04-01,279
2016-05-01,341
2016-06-01,334
2016-07-01,409
2016-08-01,480
2016-09-01,403
2016-10-01,311
2016-11-01,332
2016-12-01,434
2017-01-01,256
2017-02-01,246
2017-03-01,266
2017-04-01,268
2017-05-01,322
2017-06-01,360
2017-07-01,322
2017-08-01,403
2017-09-01,383
2017-10-01,300
2017-11-01,329
2017-12-01,365
2018-01-01,236
2018-02-01,232
2018-03-01,254
2018-04-01,270
2018-05-01,276
2018-06-01,326
2018-07-01,323
2018-08-01,384
2018-09-01,349
2018-10-01,305
2018-11-01,320
2018-12-01,321
2019-01-01,242
2019-02-01,229
2019-03-01,246
2019-04-01,242
2019-05-01,283
2019-06-01,288
2019-07-01,332
2019-08-01,366
2019-09-01,340
2019-10-01,272
2019-11-01,337
2019-12-01,311
2020-01-01,236
2020-02-01,182
2020-03-01,219
2020-04-01,239
2020-05-01,245
2020-06-01,284
2020-07-01,245
2020-08-01,194
2020-09-01,221
2020-10-01,164
2020-11-01,228
2020-12-01,209
2021-01-01,128
2021-02-01,135
2021-03-01,169
2021-04-01,137
2021-05-01,135
2021-06-01,156
2021-07-01,146
2021-08-01,179
2021-09-01,174
2021-10-01,150
2021-11-01,176
2021-12-01,180
2022-01-01,144
2022-02-01,133
2022-03-01,160
2022-04-01,170
2022-05-01,166
2022-06-01,212
2022-07-01,225
2022-08-01,245
2022-09-01,227
2022-10-01,217
2022-11-01,265
2022-12-01,299
