fecha,Violaciones,Robo por sorpresa,Robo en lugar no habitado,Robo en lugar habitado,Robo de vehículo motorizado,Robo con violencia o intimidación,Otros robos con fuerza,"Lesiones menos graves, graves o gravísimas",Lesiones leves,Hurtos,Homicidios,Delitos de mayor connotación social
2005-01-01,232,1695,2323,5782,901,4248,914,2260,6858,12390,55,40826
2005-02-01,224,1587,2375,5379,777,4199,813,1987,6127,12452,43,38730
2005-03-01,208,1787,2502,5354,1027,4721,968,2098,6703,14367,50,43227
2005-04-01,244,1738,2441,5417,955,4469,894,1968,6086,13484,57,41230
2005-05-01,188,1627,2978,5903,1021,4445,1032,1812,5752,13205,37,41382
2005-06-01,200,1509,3178,6109,933,4443,1124,1693,5308,12246,46,40251
2005-07-01,238,1564,3386,6787,1105,4781,1274,1845,5440,12299,48,42295
2005-08-01,271,1601,3672,6785,1203,4907,1423,1740,5801,12935,55,44136
2005-09-01,223,1566,3158,5840,1099,4752,1195,1904,6077,12330,39,41671
2005-10-01,200,1641,3166,5324,1026,4804,1095,1926,6897,12965,47,42379
2005-11-01,250,1787,2849,4888,936,4344,1185,1980,7513,12776,43,41682
2005-12-01,226,1872,2748,4743,1125,4375,1148,2052,7498,13821,48,42770
2006-01-01,260,1707,2685,5622,993,4136,1086,1814,7227,12357,67,40771
2006-02-01,254,1497,2613,4966,904,3831,1037,1691,6137,11394,41,36738
2006-03-01,222,1819,3037,5114,1140,4731,1270,1758,6839,12995,46,41972
2006-04-01,229,1564,2803,4940,1080,4540,1205,1698,6231,11981,48,38833
2006-05-01,230,1750,3298,5750,1086,4891,1554,1692,6260,12896,42,42341
2006-06-01,243,1706,3730,5926,1180,4893,1655,1540,5871,12620,55,42215
2006-07-01,229,1719,3815,6229,1220,4952,1652,1618,5831,12830,49,43242
2006-08-01,218,2054,4010,6379,1087,5256,2106,1652,6281,14221,52,46544
2006-09-01,233,1829,3418,5661,1132,4891,1598,1794,6692,12890,60,43098
2006-10-01,235,1970,3320,5221,1271,5034,1421,1804,6772,12874,45,43245
