fecha,Ruidos molestos,Riña pública,Otras incivilidades,Ebriedad,Desórdenes,Daños,Consumo alcohol vía pública,Comercio ambulante o clandestino,Amenazas,Incivilidades
2005-01-01,107,0,2596,5469,2505,8510,2064,2380,3780,27411
2005-02-01,209,0,2556,5716,2248,7278,2062,1932,3320,25321
2005-03-01,175,0,3140,6142,2977,8674,2025,2894,3758,29785
2005-04-01,190,0,2900,6493,3045,8417,1854,2358,3401,28658
2005-05-01,173,0,2527,6518,2831,8819,1692,2016,2964,27540
2005-06-01,181,0,2239,6462,1573,8284,1729,1728,3182,25378
2005-07-01,215,0,2271,7317,731,8445,2071,2105,3329,26484
2005-08-01,268,0,2223,7336,771,8590,2056,2420,3627,27291
2005-09-01,261,0,2255,8010,965,8206,1846,2064,3753,27360
2005-10-01,403,0,2499,7651,805,8427,2587,2579,4220,29171
2005-11-01,345,0,2213,7167,791,8936,2308,2739,4841,29340
2005-12-01,393,0,2296,7529,773,9109,2379,3406,5059,30944
2006-01-01,433,0,1887,6766,818,8233,2870,2082,5234,28323
2006-02-01,374,0,1719,6536,763,7058,2841,1427,4429,25147
2006-03-01,379,0,1890,7306,898,8126,3299,1943,4874,28715
2006-04-01,411,0,1755,8135,953,7817,3728,1612,4807,29218
2006-05-01,366,0,1708,7621,1397,8479,3166,1678,4909,29324
2006-06-01,366,0,1494,7509,875,8230,2609,1779,4375,27237
2006-07-01,407,0,1486,7782,833,8107,2716,2037,4799,28167
2006-08-01,391,0,1784,7357,858,8423,2732,1899,5174,28618
2006-09-01,380,0,1737,7914,1177,8407,2307,1515,5352,28789
2006-10-01,467,0,1539,6609,815,8668,2525,1558,5853,28034
2006-11-01,464,0,1744,6521,873,8524,2507,1531,6194,28358
2006-12-01,474,0,1679,7020,1089,9408,2574,2649,6379,31272
2007-01-01,525,3,1827,5800,733,8248,3188,1157,6643,28124
2007-02-01,419,59,1565,5698,675,7613,2329,795,5511,24664
2007-03-01,514,50,1764,6815,1165,8840,2962,1130,6387,29627
2007-04-01,510,68,1834,6683,937,8337,2840,1151,5986,28346
2007-05-01,440,54,1836,6654,939,8828,2901,1367,5970,28989
2007-06-01,387,61,1771,6965,916,9200,2922,1933,5379,29534
2007-07-01,530,51,1734,7304,809,9220,3025,1700,6497,30870
2007-08-01,415,77,1958,7162,963,9320,2883,1644,7372,31794
2007-09-01,524,91,2104,8544,1078,8820,3010,1257,7630,33058
2007-10-01,562,86,2024,7398,883,9236,2957,1338,10056,34540
2007-11-01,601,93,2301,7446,980,9524,3331,1390,10296,35962
2007-12-01,594,100,2348,7553,1119,10080,3434,1814,10333,37375
2008-01-01,672,119,2302,6658,819,9235,3733,952,10377,34867
2008-02-01,670,93,2136,7112,756,8318,4306,1176,9313,33880
2008-03-01,681,120,2089,7990,985,9651,5039,1003,10782,38340
2008-04-01,464,123,2016,7500,862,9379,4672,1016,10237,36269
2008-05-01,464,118,1967,8828,983,9939,5332,1366,8951,37948
2008-06-01,476,113,2120,9025,1009,9565,4541,1304,9064,37217
2008-07-01,563,120,2145,8978,748,9806,4898,1385,8920,37563
2008-08-01,571,111,2645,10162,883,10048,6491,1863,9364,42138
2008-09-01,531,141,2553,9520,1141,9377,5007,1441,9789,39500
2008-10-01,734,115,2513,8543,825,9746,5544,1760,10887,40667
2008-11-01,740,127,2423,8235,935,9223,5384,2266,11558,40891
2008-12-01,652,154,2444,7888,927,10111,5377,2939,11399,41891
2009-01-01,807,155,2209,7442,843,9445,5329,1788,10272,38290
2009-02-01,779,139,2242,7744,751,8481,5648,1590,9038,36412
2009-03-01,839,166,2557,9271,1036,9954,6518,1716,11665,43722
2009-04-01,710,167,2506,9007,985,9719,6452,1774,11235,42555
2009-05-01,779,194,2656,9988,1033,10442,6646,1709,10412,43859
2009-06-01,600,178,2438,9032,839,9971,5016,2134,9363,39571
2009-07-01,714,172,2287,9178,814,10157,5114,2438,9295,40169
2009-08-01,815,207,3024,10555,1084,10737,6946,2506,10515,46389
2009-09-01,665,218,3157,9590,1056,10635,4994,1837,10695,42847
2009-10-01,793,212,3089,9149,978,11100,6765,2548,12089,46723
2009-11-01,872,242,2781,9471,832,10840,7410,2953,11688,47089
2009-12-01,971,274,2953,9384,819,11582,6638,3244,11986,47851
2010-01-01,1099,253,2606,9042,759,10201,6773,1851,12000,44584
2010-02-01,873,220,2289,8016,571,8678,6077,1870,9753,38347
2010-03-01,962,231,2315,8151,748,9905,6600,1634,11115,41661
2010-04-01,849,205,2718,9228,774,9634,8072,2291,9966,43737
2010-05-01,929,254,3171,10706,795,10441,8101,2438,10446,47281
2010-06-01,747,239,3148,10305,983,10206,8264,2680,10076,46648
2010-07-01,841,196,3265,9986,683,10224,7492,2175,9098,43960
2010-08-01,858,236,3338,10850,847,10564,8971,2355,10570,48589
2010-09-01,860,275,3185,11121,1081,10270,7772,2135,10529,47228
2010-10-01,1272,277,3083,10380,866,10436,9968,3289,11520,51091
2010-11-01,1052,254,3398,9536,1109,10547,10689,3352,12128,52065
2010-12-01,1093,290,3550,9646,1004,10917,9265,3492,12077,51334
2011-01-01,1309,320,3475,9495,802,10620,10379,2136,12528,51064
2011-02-01,1325,297,3842,8843,698,9524,10090,2249,10503,47371
2011-03-01,1161,334,3915,9086,558,11223,11520,2425,13004,53226
2011-04-01,1111,365,4063,10042,693,10937,11728,2527,12811,54277
2011-05-01,955,338,4083,9643,837,11354,9966,2315,12545,52036
2011-06-01,858,303,3781,9484,780,11819,8733,2185,11595,49538
2011-07-01,927,311,3452,9731,672,12017,7634,1812,11033,47589
2011-08-01,878,335,3268,9087,1550,12392,7115,1669,11440,47734
2011-09-01,906,369,3599,9712,800,11585,7788,1572,11986,48317
2011-10-01,1127,318,3706,9407,1035,12268,10591,2045,13076,53573
2011-11-01,1059,362,3712,8286,609,11681,11143,2117,13580,52549
2011-12-01,1147,368,3670,9402,588,12399,11927,2295,13562,55358
2012-01-01,1154,334,3486,8100,389,11222,11543,1609,13011,50848
2012-02-01,1154,357,3247,8253,517,10332,11912,1303,11704,48779
2012-03-01,1143,354,3523,8984,806,10780,13013,1600,13376,53579
2012-04-01,1078,322,3420,9124,506,10495,11776,1358,12298,50377
2012-05-01,962,290,3505,8829,494,10832,10098,1785,11616,48411
2012-06-01,906,319,3209,9124,534,11094,10094,1792,11077,48149
2012-07-01,1102,286,3029,8489,412,10819,9361,1443,10419,45360
2012-08-01,952,349,3583,8736,787,11697,9832,1627,11398,48961
2012-09-01,1125,405,3553,9903,670,10808,10028,1077,11904,49473
2012-10-01,1028,343,3472,7518,539,11634,8857,1120,12530,47041
2012-11-01,1144,398,3118,7333,426,10970,10590,1144,12925,48048
2012-12-01,1102,398,2986,8121,372,12049,9756,1579,12965,49328
2013-01-01,1245,356,3196,6681,306,10658,10667,1035,13048,47192
2013-02-01,1171,345,3222,6709,287,9748,10266,1020,11325,44093
2013-03-01,1284,397,3431,8474,508,11127,13807,1103,13143,53274
2013-04-01,929,341,3348,7779,396,10719,11511,1158,12191,48372
2013-05-01,964,346,3101,9074,537,11503,11911,1450,11089,49975
2013-06-01,851,320,3046,8447,496,10771,10105,1348,10763,46147
2013-07-01,914,333,3146,7713,362,10720,8423,1601,10619,43831
2013-08-01,884,378,3338,8804,331,10843,12415,1772,11465,50230
2013-09-01,1005,392,3129,8956,637,10370,9134,973,11164,45760
2013-10-01,1099,349,3447,7268,350,10855,11540,1493,12165,48566
2013-11-01,987,360,3171,6619,395,10479,9729,1418,12146,45304
2013-12-01,917,383,2970,6485,233,11274,9645,2189,12282,46378
2014-01-01,969,337,3146,5845,250,10209,10583,1325,12273,44937
2014-02-01,943,327,2830,6147,212,9138,12145,1219,10269,43230
2014-03-01,984,349,3174,6423,255,10600,12225,1466,12158,47634
2014-04-01,818,322,3003,5987,247,10153,11716,1743,11210,45199
2014-05-01,864,327,2884,6744,368,10296,13021,1772,10832,47108
2014-06-01,660,294,2684,6513,318,10355,9413,2142,10026,42405
2014-07-01,777,283,2778,6266,221,9930,9918,2417,9660,42250
2014-08-01,879,313,3142,7422,309,10352,13089,2222,10691,48419
2014-09-01,806,332,2995,7419,498,10064,9814,1503,10669,44100
2014-10-01,895,328,3089,6365,316,10273,11506,2299,11424,46495
2014-11-01,935,325,3153,6264,285,10187,11126,2449,11516,46240
