fecha,Violencia intrafamiliar no clasificado,Violencia intrafamiliar a niño,Violencia intrafamiliar a mujer,Violencia intrafamiliar a hombre,Violencia intrafamiliar a adulto mayor,Violencia intrafamiliar
2005-01-01,28,125,8375,747,44,9319
2005-02-01,3,151,7118,694,61,8027
2005-03-01,3,172,8010,734,44,8963
2005-04-01,0,129,6797,550,50,7526
2005-05-01,1,106,6363,531,44,7045
2005-06-01,0,149,6123,573,38,6883
2005-07-01,0,152,6210,604,46,7012
2005-08-01,0,138,6397,630,41,7206
2005-09-01,0,112,6707,626,44,7489
2005-10-01,0,288,7069,788,83,8228
2005-11-01,0,298,7545,866,101,8810
2005-12-01,0,291,7735,843,107,8976
2006-01-01,0,274,8158,960,121,9513
2006-02-01,0,267,6995,797,96,8155
2006-03-01,0,256,7164,790,105,8315
2006-04-01,0,267,6507,802,79,7655
2006-05-01,0,276,6485,828,94,7683
2006-06-01,0,293,6231,724,94,7342
2006-07-01,1,311,6594,802,103,7811
2006-08-01,0,341,6879,835,108,8163
2006-09-01,35,304,7278,901,109,8627
2006-10-01,47,357,7807,936,119,9266
2006-11-01,38,381,8108,1008,131,9666
2006-12-01,33,342,8632,1147,113,10267
2007-01-01,3,355,8713,1164,138,10373
2007-02-01,31,271,7313,993,137,8745
2007-03-01,42,326,8079,1034,137,9618
2007-04-01,39,336,7234,940,106,8655
2007-05-01,20,351,7004,933,108,8416
2007-06-01,16,282,6339,877,95,7609
2007-07-01,15,325,7556,967,113,8976
2007-08-01,24,432,7761,950,112,9279
2007-09-01,30,384,8755,1094,118,10381
2007-10-01,45,493,10240,1294,151,12223
2007-11-01,40,500,10731,1428,154,12853
2007-12-01,34,519,10933,1515,140,13141
2008-01-01,22,463,10820,1385,173,12863
2008-02-01,37,380,9747,1284,133,11581
2008-03-01,54,455,9971,1428,130,12038
2008-04-01,51,452,8600,1185,114,10402
2008-05-01,43,398,8816,1162,130,10549
2008-06-01,40,432,8514,1118,125,10229
2008-07-01,44,407,8445,1208,111,10215
2008-08-01,39,469,8456,1142,113,10219
2008-09-01,31,423,8913,1213,109,10689
2008-10-01,60,480,8859,1172,122,10693
2008-11-01,70,515,9997,1405,136,12123
2008-12-01,60,531,10210,1382,134,12317
2009-01-01,62,448,10637,1461,167,12775
2009-02-01,56,464,9259,1267,152,11198
2009-03-01,71,557,10655,1549,164,12996
2009-04-01,56,554,9686,1361,138,11795
2009-05-01,55,473,9503,1419,120,11570
2009-06-01,50,488,8593,1385,124,10640
2009-07-01,44,415,8358,1347,101,10265
2009-08-01,51,606,8970,1357,133,11117
2009-09-01,54,574,9167,1383,108,11286
2009-10-01,63,602,10029,1499,153,12346
2009-11-01,35,644,9895,1483,141,12198
2009-12-01,43,587,10573,1706,126,13035
2010-01-01,83,585,10907,1724,151,13450
2010-02-01,66,479,8813,1350,122,10830
2010-03-01,61,589,9512,1568,153,11883
2010-04-01,70,518,8454,1306,132,10480
2010-05-01,59,572,8945,1357,143,11076
2010-06-01,53,611,8716,1392,112,10884
2010-07-01,32,446,8008,1210,121,9817
2010-08-01,56,598,8532,1437,142,10765
2010-09-01,51,552,8900,1396,149,11048
2010-10-01,82,632,9288,1503,167,11672
2010-11-01,193,670,9933,1569,146,12511
2010-12-01,192,591,10108,1713,157,12761
2011-01-01,147,622,11093,1883,201,13946
2011-02-01,71,487,9922,1651,179,12310
2011-03-01,68,671,11526,1894,222,14381
2011-04-01,85,730,10411,1761,202,13189
2011-05-01,73,672,10204,1679,208,12836
2011-06-01,48,589,9261,1602,172,11672
2011-07-01,57,529,9037,1533,170,11326
2011-08-01,62,565,9172,1545,189,11533
2011-09-01,50,565,9813,1604,196,12228
2011-10-01,72,662,11060,1788,205,13787
2011-11-01,93,688,10911,1787,196,13675
2011-12-01,72,628,11410,1906,214,14230
2012-01-01,74,573,11103,1875,230,13855
2012-02-01,69,524,9925,1688,218,12424
2012-03-01,92,595,10171,1782,204,12844
2012-04-01,75,609,9388,1588,182,11842
2012-05-01,78,585,9241,1615,176,11695
2012-06-01,79,597,8624,1582,174,11056
2012-07-01,63,501,8511,1501,177,10753
2012-08-01,79,537,8990,1545,186,11337
2012-09-01,61,535,9399,1599,163,11757
2012-10-01,76,618,9130,1578,182,11584
2012-11-01,79,631,10142,1787,210,12849
2012-12-01,48,585,10292,1871,195,12991
2013-01-01,78,520,10652,1946,222,13418
2013-02-01,59,493,9354,1751,194,11851
2013-03-01,67,575,10108,1738,174,12662
2013-04-01,69,580,8857,1573,193,11272
2013-05-01,70,525,8603,1517,148,10863
2013-06-01,63,515,8548,1409,169,10704
2013-07-01,66,426,8627,1505,159,10783
2013-08-01,73,480,8687,1597,160,10997
2013-09-01,70,519,9203,1588,177,11557
2013-10-01,75,634,9191,1600,180,11680
