fecha,Tenencia ilegal de armas o explosivos,Porte de armas,Otros ley de armas,Hallazgo de armas o explosivos,Abandono de armas,Infracción a ley de armas
2005-01-01,186,209,22,29,0,446
2005-02-01,134,341,8,15,0,498
2005-03-01,161,410,23,34,0,628
2005-04-01,168,404,24,25,0,621
2005-05-01,149,419,18,33,0,619
2005-06-01,146,336,5,9,0,496
2005-07-01,119,295,6,33,0,453
2005-08-01,139,337,8,26,0,510
2005-09-01,178,406,8,30,0,622
2005-10-01,172,391,11,26,0,600
2005-11-01,157,338,9,29,0,533
2005-12-01,142,312,9,26,0,489
2006-01-01,53,383,11,31,0,478
2006-02-01,36,411,10,19,0,476
2006-03-01,38,506,16,25,0,585
2006-04-01,47,519,24,39,0,629
2006-05-01,25,614,18,22,0,679
2006-06-01,19,543,14,23,0,599
2006-07-01,24,525,5,26,0,580
2006-08-01,34,553,11,30,0,628
2006-09-01,36,647,9,38,0,730
2006-10-01,27,508,7,21,0,563
2006-11-01,28,439,11,30,0,508
2006-12-01,24,463,27,33,0,547
2007-01-01,23,421,7,26,0,477
2007-02-01,24,411,10,16,0,461
2007-03-01,31,503,5,29,0,568
2007-04-01,23,594,5,25,0,647
2007-05-01,25,533,9,30,0,597
2007-06-01,36,572,10,33,0,651
2007-07-01,28,674,7,27,0,736
2007-08-01,39,690,13,23,0,765
2007-09-01,39,810,24,34,0,907
2007-10-01,59,844,109,55,0,1067
2007-11-01,52,759,1036,27,0,1874
2007-12-01,36,668,736,33,0,1473
2008-01-01,43,660,1137,35,0,1875
2008-02-01,62,627,916,39,0,1644
2008-03-01,64,787,744,38,0,1633
2008-04-01,73,789,910,31,0,1803
2008-05-01,67,744,874,21,0,1706
2008-06-01,61,772,874,20,0,1727
2008-07-01,66,809,870,31,0,1776
2008-08-01,106,958,1487,24,0,2575
2008-09-01,66,933,1890,39,0,2928
2008-10-01,56,857,2560,31,0,3504
2008-11-01,61,753,2338,29,0,3181
2008-12-01,43,669,2456,40,0,3208
2009-01-01,61,698,1891,38,1,2689
2009-02-01,47,661,1948,32,2,2690
2009-03-01,71,870,2298,37,2,3278
2009-04-01,69,775,2190,31,3,3068
2009-05-01,72,867,1927,29,2,2897
2009-06-01,98,766,2176,27,1,3068
2009-07-01,88,761,1703,24,3,2579
2009-08-01,63,877,569,35,3,1547
2009-09-01,48,789,166,35,4,1042
2009-10-01,65,756,121,40,1,983
2009-11-01,33,714,73,35,1,856
2009-12-01,40,661,70,50,1,822
2010-01-01,54,649,40,33,3,779
2010-02-01,27,520,58,28,2,635
2010-03-01,46,751,43,41,5,886
2010-04-01,41,738,244,29,2,1054
2010-05-01,53,820,82,30,1,986
2010-06-01,52,851,66,30,3,1002
2010-07-01,39,719,43,29,2,832
2010-08-01,56,758,77,46,8,945
2010-09-01,52,758,66,32,3,911
2010-10-01,40,763,80,26,3,912
2010-11-01,43,769,67,27,5,911
2010-12-01,54,683,68,29,5,839
2011-01-01,41,638,31,37,8,755
2011-02-01,36,569,50,35,2,692
2011-03-01,58,758,98,40,4,958
2011-04-01,46,785,72,38,4,945
2011-05-01,46,792,91,39,2,970
2011-06-01,30,783,59,37,8,917
2011-07-01,35,637,49,32,6,759
2011-08-01,42,720,79,29,5,875
2011-09-01,41,781,53,39,9,923
2011-10-01,41,837,99,38,6,1021
2011-11-01,46,890,120,36,8,1100
2011-12-01,50,687,151,36,2,926
2012-01-01,38,685,84,37,4,848
2012-02-01,40,698,49,37,4,828
2012-03-01,56,895,67,42,0,1060
2012-04-01,48,843,62,44,3,1000
2012-05-01,54,911,93,24,3,1085
2012-06-01,44,928,96,31,12,1111
2012-07-01,39,775,75,23,3,915
2012-08-01,47,888,110,30,5,1080
2012-09-01,53,853,73,37,2,1018
2012-10-01,45,729,90,42,3,909
2012-11-01,34,734,125,38,6,937
2012-12-01,39,656,95,30,2,822
2013-01-01,48,611,82,36,1,778
2013-02-01,56,610,95,27,2,790
2013-03-01,53,874,125,27,5,1084
2013-04-01,60,952,95,33,5,1145
2013-05-01,70,896,140,34,4,1144
2013-06-01,57,879,178,30,4,1148
2013-07-01,44,715,188,39,8,994
2013-08-01,44,863,179,25,7,1118
2013-09-01,78,854,202,26,6,1166
2013-10-01,47,783,186,40,9,1065
2013-11-01,37,665,172,29,5,908
2013-12-01,40,637,152,24,2,855
2014-01-01,35,731,106,29,2,903
2014-02-01,35,648,84,33,1,801
2014-03-01,43,909,187,30,8,1177
2014-04-01,33,829,143,29,2,1036
2014-05-01,48,954,181,25,5,1213
2014-06-01,38,804,145,26,8,1021
2014-07-01,25,773,208,21,0,1027
2014-08-01,47,985,248,18,4,1302
2014-09-01,38,1093,290,24,5,1450
2014-10-01,44,973,322,30,1,1370
2014-11-01,28,951,223,23,7,1232
