fecha,Receptación
2005-01-01,193
2005-02-01,175
2005-03-01,163
2005-04-01,210
2005-05-01,185
2005-06-01,202
2005-07-01,267
2005-08-01,386
2005-09-01,280
2005-10-01,308
2005-11-01,321
2005-12-01,301
2006-01-01,309
2006-02-01,272
2006-03-01,328
2006-04-01,335
2006-05-01,416
2006-06-01,365
2006-07-01,420
2006-08-01,447
2006-09-01,472
2006-10-01,409
2006-11-01,408
2006-12-01,342
2007-01-01,350
2007-02-01,290
2007-03-01,346
2007-04-01,348
2007-05-01,366
2007-06-01,372
2007-07-01,369
2007-08-01,389
2007-09-01,367
2007-10-01,394
2007-11-01,347
2007-12-01,288
2008-01-01,314
2008-02-01,333
2008-03-01,395
2008-04-01,402
2008-05-01,406
2008-06-01,494
2008-07-01,441
2008-08-01,512
2008-09-01,489
2008-10-01,512
2008-11-01,485
2008-12-01,454
2009-01-01,451
2009-02-01,475
2009-03-01,501
2009-04-01,479
2009-05-01,494
2009-06-01,475
2009-07-01,532
2009-08-01,609
2009-09-01,544
2009-10-01,509
2009-11-01,548
2009-12-01,514
2010-01-01,448
2010-02-01,440
2010-03-01,766
2010-04-01,521
2010-05-01,558
2010-06-01,570
2010-07-01,575
2010-08-01,639
2010-09-01,557
2010-10-01,614
2010-11-01,633
2010-12-01,521
2011-01-01,548
2011-02-01,542
2011-03-01,627
2011-04-01,569
2011-05-01,661
2011-06-01,640
2011-07-01,601
2011-08-01,647
2011-09-01,608
2011-10-01,688
2011-11-01,704
2011-12-01,528
2012-01-01,488
2012-02-01,504
2012-03-01,553
2012-04-01,543
2012-05-01,561
2012-06-01,517
2012-07-01,490
2012-08-01,616
2012-09-01,543
2012-10-01,537
2012-11-01,530
2012-12-01,545
2013-01-01,500
2013-02-01,423
2013-03-01,593
2013-04-01,574
2013-05-01,569
2013-06-01,587
2013-07-01,565
2013-08-01,609
2013-09-01,561
2013-10-01,594
2013-11-01,552
2013-12-01,545
2014-01-01,503
2014-02-01,443
2014-03-01,576
2014-04-01,566
2014-05-01,625
2014-06-01,624
2014-07-01,623
2014-08-01,652
2014-09-01,657
2014-10-01,706
2014-11-01,654
2014-12-01,614
2015-01-01,639
2015-02-01,526
2015-03-01,640
2015-04-01,636
2015-05-01,707
2015-06-01,664
2015-07-01,644
2015-08-01,731
2015-09-01,631
2015-10-01,666
2015-11-01,647
2015-12-01,622
2016-01-01,591
2016-02-01,567
2016-03-01,678
2016-04-01,620
2016-05-01,699
2016-06-01,603
2016-07-01,610
2016-08-01,650
2016-09-01,687
2016-10-01,656
2016-11-01,724
2016-12-01,681
2017-01-01,790
2017-02-01,721
2017-03-01,817
2017-04-01,723
2017-05-01,881
2017-06-01,812
2017-07-01,854
2017-08-01,961
2017-09-01,826
2017-10-01,850
2017-11-01,947
2017-12-01,807
2018-01-01,772
2018-02-01,710
2018-03-01,919
2018-04-01,912
2018-05-01,963
2018-06-01,826
2018-07-01,839
2018-08-01,963
2018-09-01,766
2018-10-01,957
2018-11-01,877
2018-12-01,781
2019-01-01,883
2019-02-01,750
2019-03-01,916
2019-04-01,928
2019-05-01,938
2019-06-01,862
2019-07-01,974
2019-08-01,989
2019-09-01,827
2019-10-01,1398
2019-11-01,1143
2019-12-01,662
2020-01-01,699
2020-02-01,674
2020-03-01,720
2020-04-01,772
2020-05-01,913
2020-06-01,750
2020-07-01,747
2020-08-01,597
2020-09-01,566
2020-10-01,619
2020-11-01,609
2020-12-01,579
2021-01-01,564
2021-02-01,494
2021-03-01,656
2021-04-01,702
2021-05-01,616
2021-06-01,598
2021-07-01,551
2021-08-01,624
2021-09-01,662
2021-10-01,720
2021-11-01,697
2021-12-01,688
2022-01-01,852
2022-02-01,750
2022-03-01,990
2022-04-01,932
2022-05-01,1051
2022-06-01,1018
2022-07-01,902
2022-08-01,1124
2022-09-01,993
2022-10-01,1079
2022-11-01,1053
2022-12-01,937
